country,iso3Code,CPI score 2023,Global Insights Country Risk Ratings,PRS International Country Risk Guide,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Denmark,DNK,90,83.25637,100.0,,82.20667,87.68097
Finland,FIN,87,83.25637,93.38018,,86.76612,85.88441
New Zealand,NZL,85,83.25637,93.38018,,70.98344,82.2913
Norway,NOR,84,83.25637,84.67139,,,86.78268
Singapore,SGP,83,83.25637,83.27798,,88.51975,84.08785
Sweden,SWE,82,83.25637,93.38018,,60.98773,85.88441
Switzerland,CHE,82,71.02245,84.67139,,80.97914,
Netherlands,NLD,79,71.02245,84.67139,,75.71824,82.2913
Germany,DEU,78,71.02245,82.58128,,59.76019,78.69818
Luxembourg,LUX,78,71.02245,84.67139,,81.85595,80.49474
Ireland,IRL,77,71.02245,75.96259,,73.78925,80.49474
Canada,CAN,76,71.02245,75.96259,,63.09209,78.69818
Estonia,EST,76,71.02245,67.25381,,72.91243,76.00334
Australia,AUS,75,83.25637,75.96259,,59.40947,78.69818
Hong Kong,HKG,75,58.97113,67.25381,,80.80377,73.3085
Belgium,BEL,73,71.02245,73.87249,,51.34276,76.00334
Japan,JPN,73,71.02245,67.25381,,83.0835,79.59646
Uruguay,URY,73,71.02245,75.96259,,70.10662,71.51195
Iceland,ISL,72,71.02245,75.96259,,77.29651,
Austria,AUT,71,58.97113,73.87249,,68.52835,74.20679
France,FRA,71,71.02245,69.51809,,69.58053,70.61366
Seychelles,SYC,71,71.02245,,,,
United Kingdom,GBR,71,71.02245,73.87249,,54.67466,80.49474
Barbados,BRB,69,71.02245,,,,61.63088
United States,USA,69,71.02245,67.25381,,58.88337,72.41022
Bhutan,BTN,68,71.02245,,60.10603,,
United Arab Emirates,ARE,68,58.97113,65.1637,,,73.3085
Taiwan,TWN,67,71.02245,58.54501,,71.1588,
Chile,CHL,66,71.02245,58.54501,,57.48047,65.224
Bahamas,BHS,64,58.97113,75.96259,,,57.13948
Cabo Verde,CPV,64,71.02245,,60.10603,,
"Korea, South",KOR,63,58.97113,63.59611,,55.90219,70.61366
Israel,ISR,62,58.97113,49.83622,,,
Lithuania,LTU,61,58.97113,49.83622,,54.67466,69.71539
Portugal,PRT,61,58.97113,65.1637,,54.67466,65.224
Latvia,LVA,60,58.97113,43.39172,,,64.32571
Saint Vincent and the Grenadines,VCT,60,58.97113,,51.77465,,67.91883
Spain,ESP,60,46.73721,56.45491,,50.46594,69.71539
Botswana,BWA,59,71.02245,65.8604,,,52.64809
Qatar,QAT,58,46.73721,56.45491,,,
Czechia,CZE,57,58.97113,49.83622,,49.93985,62.52916
Dominica,DMA,56,58.97113,,51.77465,,56.24121
Italy,ITA,56,58.97113,49.83622,,47.48477,60.7326
Slovenia,SVN,56,58.97113,56.45491,,45.38041,60.7326
Costa Rica,CRI,55,46.73721,41.12743,,44.50359,61.63088
Saint Lucia,LCA,55,46.73721,,60.10603,,57.13948
Poland,POL,54,58.97113,41.12743,,50.64131,63.42744
Slovakia,SVK,54,71.02245,41.12743,,,48.1567
Cyprus,CYP,53,58.97113,47.74611,,57.12974,60.7326
Georgia,GEO,53,34.50329,,,63.79354,57.13948
Grenada,GRD,53,46.73721,,51.77465,,60.7326
Rwanda,RWA,53,58.97113,,43.44326,,58.93604
Fiji,FJI,52,58.97113,,43.44326,,
Saudi Arabia,SAU,52,34.50329,58.54501,,,
Malta,MLT,51,46.73721,41.12743,,40.47024,58.03776
Mauritius,MUS,51,58.97113,,,57.12974,49.05498
Croatia,HRV,50,46.73721,53.49392,,,50.85153
Malaysia,MYS,50,58.97113,49.83622,,46.95868,47.25842
Greece,GRC,49,58.97113,34.68293,,47.3094,51.74981
Namibia,NAM,49,58.97113,49.83622,,,46.36014
Vanuatu,VUT,48,46.73721,,43.44326,,
Armenia,ARM,47,46.73721,32.41864,,53.79784,
Jordan,JOR,46,34.50329,41.12743,,,50.85153
Kuwait,KWT,46,34.50329,46.87523,,53.27176,46.36014
Montenegro,MNE,46,46.73721,,,,39.17391
Romania,ROU,46,46.73721,41.12743,,42.22387,49.95325
Bulgaria,BGR,45,46.73721,49.83622,,40.6456,37.37735
Sao Tome and Principe,STP,45,46.73721,,43.44326,,
Jamaica,JAM,44,34.50329,41.12743,,38.01516,50.85153
Benin,BEN,43,34.50329,,43.44326,,35.58079
Ghana,GHA,43,46.73721,49.83622,43.44326,35.56007,33.78424
Oman,OMN,43,46.73721,47.74611,,,
Senegal,SEN,43,46.73721,32.41864,43.44326,37.13834,45.46186
Solomon Islands,SLB,43,58.97113,,35.11188,,
Timor-Leste,TLS,43,34.50329,,35.11188,,
Bahrain,BHR,42,34.50329,49.83622,,,
China,CHN,42,46.73721,32.41864,,,38.27563
Cuba,CUB,42,34.50329,49.83622,,,
Hungary,HUN,42,46.73721,41.12743,,50.29058,39.17391
Moldova,MDA,42,46.73721,41.12743,,,36.47907
North Macedonia,MKD,42,46.73721,,,,40.07219
Trinidad and Tobago,TTO,42,34.50329,32.41864,,,42.76702
Burkina Faso,BFA,41,46.73721,37.46974,43.44326,,36.47907
Kosovo,KSV,41,34.50329,,43.44326,,37.37735
South Africa,ZAF,41,46.73721,32.41864,,32.40353,40.97047
Vietnam,VNM,41,46.73721,36.77304,,50.99203,35.58079
Colombia,COL,40,46.73721,32.41864,,33.9818,36.47907
Côte d'Ivoire,CIV,40,58.97113,41.12743,43.44326,45.73113,26.598
Guyana,GUY,40,34.50329,41.12743,35.11188,,37.37735
Suriname,SUR,40,34.50329,32.41864,,,33.78424
Tanzania,TZA,40,34.50329,32.41864,35.11188,46.43259,32.88596
Tunisia,TUN,40,46.73721,39.03732,,43.9775,33.78424
India,IND,39,46.73721,41.12743,,39.24269,31.0894
Kazakhstan,KAZ,39,46.73721,67.25381,,30.12381,37.37735
Lesotho,LSO,39,58.97113,,35.11188,,
Maldives,MDV,39,34.50329,,35.11188,,
Morocco,MAR,38,34.50329,47.74611,,44.85432,36.47907
Albania,ALB,37,34.50329,32.41864,,,29.29284
Argentina,ARG,37,34.50329,32.41864,,25.56437,43.6653
Belarus,BLR,37,46.73721,23.70985,,,50.85153
Ethiopia,ETH,37,46.73721,32.41864,35.11188,,31.0894
Gambia,GMB,37,46.73721,41.12743,35.11188,,30.19112
Zambia,ZMB,37,46.73721,32.41864,26.78049,,35.58079
Algeria,DZA,36,34.50329,23.70985,,51.51812,36.47907
Brazil,BRA,36,34.50329,32.41864,,26.61655,35.58079
Serbia,SRB,36,34.50329,32.41864,,35.73543,31.98768
Ukraine,UKR,36,34.50329,39.03732,,43.27605,32.88596
Bosnia and Herzegovina,BIH,35,34.50329,,,,37.37735
Dominican Republic,DOM,35,34.50329,23.70985,,35.91079,30.19112
Egypt,EGY,35,34.50329,30.32853,,64.495,27.49628
Nepal,NPL,35,34.50329,,35.11188,38.01516,31.0894
Panama,PAN,35,34.50329,32.41864,,31.35135,33.78424
Sierra Leone,SLE,35,46.73721,41.12743,35.11188,,24.80145
Thailand,THA,35,34.50329,32.41864,,36.43689,32.88596
Ecuador,ECU,34,34.50329,32.41864,,27.318,31.0894
Indonesia,IDN,34,46.73721,32.41864,,,23.90317
Malawi,MWI,34,46.73721,32.41864,35.11188,37.83979,33.78424
Philippines,PHL,34,34.50329,41.12743,,41.17169,23.90317
Sri Lanka,LKA,34,34.50329,32.41864,35.11188,30.12381,32.88596
Turkey,TUR,34,46.73721,32.41864,,36.08616,32.88596
Angola,AGO,33,46.73721,39.03732,,19.42665,29.29284
Mongolia,MNG,33,34.50329,33.11534,,,32.88596
Peru,PER,33,34.50329,32.41864,,31.70208,31.0894
Uzbekistan,UZB,33,34.50329,47.74611,35.11188,48.88768,37.37735
Niger,NER,32,34.50329,23.70985,35.11188,,28.39456
El Salvador,SLV,31,34.50329,32.41864,,30.12381,31.98768
Kenya,KEN,31,34.50329,41.12743,43.44326,28.19481,22.10661
Mexico,MEX,31,22.45197,23.70985,,29.77308,21.20833
Togo,TGO,31,34.50329,32.41864,35.11188,,35.58079
Djibouti,DJI,30,34.50329,,35.11188,,
Eswatini,SWZ,30,34.50329,,,,
Mauritania,MRT,30,34.50329,,35.11188,,25.69973
Bolivia,BOL,29,34.50329,30.32853,,15.04257,19.41177
Pakistan,PAK,29,34.50329,32.41864,35.11188,44.85432,24.80145
Papua New Guinea,PNG,29,34.50329,32.41864,26.78049,,
Gabon,GAB,28,34.50329,23.70985,,,23.00489
Laos,LAO,28,34.50329,,26.78049,,
Mali,MLI,28,34.50329,32.41864,26.78049,29.77308,17.61522
Paraguay,PRY,28,22.45197,25.10326,,,26.598
Cameroon,CMR,27,34.50329,23.70985,35.11188,37.3137,17.61522
Guinea,GIN,26,34.50329,23.70985,26.78049,,22.10661
Kyrgyzstan,KGZ,26,22.45197,,26.78049,38.89197,24.80145
Russia,RUS,26,34.50329,23.70985,,,31.98768
Uganda,UGA,26,22.45197,23.70985,26.78049,,17.61522
Liberia,LBR,25,22.45197,32.41864,26.78049,,19.41177
Madagascar,MDG,25,34.50329,23.70985,26.78049,,16.71694
Mozambique,MOZ,25,22.45197,39.73402,18.44911,,23.90317
Nigeria,NGA,25,22.45197,25.97413,35.11188,24.86292,23.00489
Bangladesh,BGD,24,22.45197,33.81205,26.78049,29.94845,22.10661
Central African Republic,CAF,24,22.45197,,26.78049,,
Iran,IRN,24,34.50329,21.61974,,,33.78424
Lebanon,LBN,24,22.45197,28.76095,,,27.49628
Zimbabwe,ZWE,24,22.45197,15.00106,26.78049,30.82526,25.69973
Azerbaijan,AZE,23,34.50329,23.70985,,,
Guatemala,GTM,23,22.45197,23.70985,,32.40353,25.69973
