index,country,iso3Code,clean fuels for cooking (% of population),Access to electricity (% of population),Agricultural land (% ),Armed forces (% labor force),precipitation (mm per year),"Birth rate, crude (per 1,000 people)","Central government debt, total (% of GDP)",Consumer price index (2010 = 100),Control of Corruption: Estimate,Cost of business start-up (% of GNI per capita),Current account balance (% of GDP),Current health expenditure (% of GDP),"Death rate, crude (per 1,000 people)","Debt service (PPG and IMF only, % of exports of goods, services and primary income)",doing business score,"Fertility rate, total (births per woman)",% Firms using banks,GDP growth (annual %),GDP per capita (constant 2015 US$),"GDP per capita, PPP (constant 2021 international $)",GNI per capita (2015 US$),government  consumption exp (% of GDP),"Government expenditure on education, total (% of GDP)",Human Capital Index,"Industry (including construction), value added (% of GDP)","Inflation, consumer prices (annual %)",Level of water stress,"Life expectancy at birth, total (years)",Military expenditure (% of GDP),Population density,Population growth (annual %),% of total population below 5 meters,Population living in slums (% of urban population),"Population, total",Poverty $2.15 a day (% of population),Poverty $3.65 a day (% of population),Poverty $6.85 a day (% of population),%  Poverty headcount ratio ,Time to start a business (days),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Total debt service (% of GNI),"Total debt service (% of exports of goods, services and primary income)",Unemployment advanced education,Unemployment basic education ,Unemployment intermediate education,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Corruption index 2023,Global_Peace_Index_2023,immigration_100k
0,Afghanistan,AFG,32.400000000000006,91.55555555555556,58.43235259545458,2.681272141649884,327.0,36.62811111111111,0.0,145.911663781808,-1.3701604737175843,17.955555555555556,-17.827529269322568,16.066884038888887,7.052888888888889,2.67248411762217,42.20552444444444,4.900777777777778,0.0,-1.6844179587644232,499.6702066928817,2621.900057351834,568.977113896441,9.600811900424734,4.244677941004436,0.30856833871205663,14.098645680478345,2.315127335663807,54.7570194384,62.863555555555564,1.3241052775321285,57.75868873795374,2.60446893530105,0.0,64.89525111111112,37769273.88888889,0.0,0.0,0.0,48.44444444444444,8.5,0.012777777777777777,0.2700836764681234,3.2200579689718176,10.011888888888889,7.5793333333333335,9.741222222222223,11.616111111111111,20.0,3.294,218.7492410975512
1,Albania,ALB,81.45555555555555,99.97777777777777,42.382185725871864,0.6141190631550635,1485.0,10.610444444444445,78.23837503390594,121.10185155020433,-0.500035673379898,11.122222222222224,-6.828662119300309,6.958186467777778,9.49088888888889,10.011750014896743,66.09024222222223,1.4501111111111111,11.944444444444445,3.315263305844461,4568.486551565562,15152.708793956133,4543.820270342644,12.11235053849601,3.326053831312392,0.49059292432996976,22.43661479608103,2.6383047383034124,5.586271367533333,78.015,1.2566872805331444,103.63228304947278,-0.5645700978608934,9.15110167982407,4.155555555555555,2836000.4444444445,0.06666666666666668,2.411111111111111,18.255555555555553,19.98888888888889,4.666666666666667,4.822222222222222,5.5764036579460985,17.127848008904042,13.158666666666667,10.648444444444443,14.883999999999999,12.600666666666667,37.0,1.809,197.99009591128413
2,Algeria,DZA,99.67777777777778,99.65555555555555,17.353870849563865,2.628728246689092,89.0,23.088555555555555,0.0,156.13314628582935,-0.639696756998698,11.422222222222224,-6.737186006336199,6.1186514955555555,4.547444444444444,0.3804545368702176,47.56346666666667,2.9602222222222223,0.0,1.9333333333333376,4623.518156706856,15039.337564668223,4544.393555109138,18.637303604141,5.763192547692192,0.41391262722015376,34.94512315100155,5.6915443804700585,135.70032675136667,76.08055555555556,6.128818632815218,18.1061341262547,1.8155548567243622,1.2456681044134,14.394726666666665,43200436.44444445,0.0,0.0,0.0,0.0,18.0,0.5744444444444444,0.16223343867883955,0.7364721580397906,13.805555555555555,8.50111111111111,8.757777777777777,12.17088888888889,36.0,2.11,94.17728927882641
3,American Samoa,ASM,0.0,0.0,14.149999999999999,0.0,0.0,11.422222222222224,0.0,0.0,1.4112306700812456,0.0,0.0,0.0,4.677777777777777,0.0,0.0,0.0,0.0,0.4183640708316789,12900.681890509912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.94222222222223,-1.3097135472735733,4.62737256653892,0.0,50297.22222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Andorra,AND,100.0,100.0,39.98345153664303,0.0,0.0,6.466666666666667,0.0,0.0,1.2116467555363977,0.0,9.122126470676589,7.709043556666667,3.7666666666666666,0.0,0.0,0.0,0.0,2.0383566005160674,38684.748524868446,62153.05474491795,0.0,0.0,2.880349172486199,0.0,11.32111989791322,0.0,0.0,0.0,0.0,161.91678486997634,1.0240565141829368,0.0,0.0,76228.77777777778,0.0,0.0,0.0,0.0,0.0,10.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Angola,AGO,48.94444444444444,45.53333333333333,36.77593290731977,0.8983647390434274,1010.0,39.84977777777778,0.0,433.81890894978,-1.046424845854441,13.833333333333334,3.2370953182320856,2.808642492222222,8.10888888888889,25.729383735887332,40.20852111111111,5.457111111111111,0.0,-0.46614599798785455,2680.045161888299,8323.009773574475,2461.8686310411244,10.213917247964746,2.4674667517344147,0.2812226081954109,45.34252231236374,21.069998365695724,1.8718832891000001,61.75344444444444,1.9698828633276078,25.89076165521421,3.3595783538462487,1.53305214067655,54.27346222222222,32401887.777777776,20.733333333333334,35.266666666666666,52.0,21.53333333333333,36.0,5.588888888888889,16.01062565043255,30.672793989987685,9.83788888888889,7.427666666666667,16.557000000000002,16.043777777777777,33.0,2.043,2.931927937394869
6,Antigua and Barbuda,ATG,100.0,100.0,20.4545454545455,0.0,1030.0,11.842555555555556,0.0,117.54853014961311,0.34115915166007144,8.5,-10.12854008118213,5.330701562222222,5.913666666666667,0.0,59.90161333333333,1.5175555555555555,0.0,2.30573472616908,16980.065560991377,27188.77111832759,15135.148793952701,0.0,2.6975569725036634,0.3932499488194782,19.424265663343178,2.3153067289993063,8.4615384615,78.5938888888889,0.0,207.57853535353544,0.5555461645514561,12.1917757079868,0.0,91387.44444444444,0.0,0.0,0.0,0.0,20.333333333333332,7.448888888888888,0.0,0.0,2.239333333333333,7.013333333333333,6.852,0.0,0.0,0.0,787.8543976986872
7,Argentina,ARG,99.84444444444445,99.95555555555556,43.16357822771303,0.5307158881627337,591.0,15.10677777777778,0.0,0.0,-0.3100184351205825,6.988888888888889,-2.0309457487792555,10.013724644444444,8.122666666666667,26.32873145894543,58.253192222222225,2.0323333333333333,31.811111111111114,0.33903141379281226,12920.969644169145,27079.24388339672,12588.3354572842,16.745571346142466,5.10597774717543,0.47270137055714934,23.204333536023164,0.0,10.4566640772,76.39933333333335,0.7180469811266618,16.3463738230409,0.6310688695868917,1.02928663774484,0.0,44749457.44444445,0.7444444444444445,2.533333333333333,9.822222222222223,31.244444444444444,15.777777777777779,8.19888888888889,6.645575292519756,41.52557007960839,2.702,8.23088888888889,7.775444444444444,8.468333333333334,37.0,1.855,7.1174047282117625
8,Armenia,ARM,97.80000000000001,99.93333333333334,58.69851305467744,3.2569428255470343,562.0,12.983777777777778,29.623737729966503,134.09773803658277,-0.2679388697724789,0.8444444444444446,-3.17999320764318,11.231111111111112,10.875333333333334,7.8221840901105235,72.99217666666667,1.581888888888889,10.266666666666667,4.799999999938692,4163.539245031682,15543.671631211946,4174.774230845902,13.0418987160246,2.3674789302878896,0.4501607918209498,25.424089239340223,2.919879918762209,59.688879922911106,73.941,4.45191744645018,104.47644694220044,-0.08474883941398237,0.0,7.570646666666666,2976855.5555555555,0.8666666666666667,9.066666666666666,49.58888888888889,14.38888888888889,4.333333333333333,4.6433333333333335,13.312760262505277,30.3984278605339,11.418333333333333,10.545777777777777,12.555222222222222,16.79111111111111,47.0,2.052,69.70442338485427
9,Australia,AUS,100.0,100.0,46.66744750767561,0.44369137644292855,534.0,12.211111111111112,58.29238796967638,121.81466065441077,1.7564449707667034,0.7,-0.6341676689351103,10.332443448888888,6.699999999999999,0.0,80.90538555555555,1.6938888888888888,0.0,2.43945744387774,58816.587226529926,57694.41033761398,58756.42415258348,20.800957274502423,5.361978636847603,0.6050695607927111,24.97908862280539,2.684233499082136,4.3685672774,82.87750677506776,1.9616126622393324,3.2687724145635166,1.412884520694111,3.6013357263927994,0.0,25211731.222222224,0.4444444444444444,0.5777777777777777,0.8888888888888888,0.0,2.2222222222222223,10.241111111111111,0.0,0.0,3.2760000000000002,9.645777777777777,5.386888888888889,5.198333333333333,75.0,1.536,64.05748124811439
