index,country,iso3Code,year,clean fuels for cooking (% of population),Access to electricity (% of population),Agricultural land (% ),Armed forces (% labor force),precipitation (mm per year),"Birth rate, crude (per 1,000 people)","Central government debt, total (% of GDP)",Consumer price index (2010 = 100),Control of Corruption: Estimate,Cost of business start-up (% of GNI per capita),Current account balance (% of GDP),Current health expenditure (% of GDP),"Death rate, crude (per 1,000 people)","Debt service (PPG and IMF only, % of exports of goods, services and primary income)",doing business score,"Fertility rate, total (births per woman)",% Firms using banks,GDP growth (annual %),GDP per capita (constant 2015 US$),"GDP per capita, PPP (constant 2021 international $)",GNI per capita (2015 US$),government  consumption exp (% of GDP),"Government expenditure on education, total (% of GDP)",Human Capital Index,"Industry (including construction), value added (% of GDP)","Inflation, consumer prices (annual %)",Level of water stress,"Life expectancy at birth, total (years)",Military expenditure (% of GDP),Population density,Population growth (annual %),% of total population below 5 meters,Population living in slums (% of urban population),"Population, total",Poverty $2.15 a day (% of population),Poverty $3.65 a day (% of population),Poverty $6.85 a day (% of population),%  Poverty headcount ratio ,Time to start a business (days),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Total debt service (% of GNI),"Total debt service (% of exports of goods, services and primary income)",Unemployment advanced education,Unemployment basic education ,Unemployment intermediate education,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Corruption index 2023,Global_Peace_Index_2023,immigration_100k
0,Afghanistan,AFG,2015,27.6,71.5,58.123668031216,3.72466666915444,327.0,38.803,0.0,132.883209191418,-1.35471308231354,19.0,-21.9126573355151,10.10534763,7.331,2.80585396332281,39.25519,5.405,0.0,1.45131466066431,565.569730408751,2967.692067153,568.977113896441,0.0,3.2558000087738,0.0,22.1240424906926,-0.66170916471352,54.7570194384,62.659,0.994575822723645,51.8709105683578,3.11995924146907,0.0,0.0,33831764.0,0.0,0.0,0.0,0.0,8.5,0.009,0.292136690509521,3.29960835203606,0.0,0.0,0.0,9.052,20.0,3.294,7.758980584045218
1,Afghanistan,AFG,2016,28.8,97.7,58.123668031216,3.63591541487427,327.0,37.936,0.0,138.708665508891,-1.54022777080536,19.9,-14.9501951919169,11.81859016,7.077,3.73588202243344,38.93563,5.262,0.0,2.26031420279821,563.872336723147,2958.7853992308,568.977113896441,0.0,4.54397010803223,0.0,10.4668076938201,4.38389195513893,54.7570194384,63.136,0.956772140958855,53.2030296061205,2.53571991833963,0.0,72.12863,34700612.0,0.0,0.0,0.0,54.5,8.5,0.013,0.324902542065687,4.333403208221,0.0,0.0,0.0,10.133,20.0,3.294,7.651161887288904
2,Afghanistan,AFG,2017,30.3,97.7,58.123668031216,3.50177143016357,327.0,37.342,0.0,145.610741438593,-1.53007459640503,82.3,-18.9559612272258,12.62081718,7.027,3.54864769227737,37.13062,5.129,0.0,2.6470032027451,562.769574140988,2952.99891598909,568.977113896441,0.0,4.34319019317627,0.389,10.0518739969063,4.97595150553892,54.7570194384,63.016,0.945226799939516,54.7183278904681,2.80833730805469,0.0,72.12863,35688935.0,0.0,0.0,0.0,54.5,8.5,0.017,0.333475147144941,4.35357201508207,15.46,12.283,16.155,11.184,20.0,3.294,9.694881620872128
3,Afghanistan,AFG,2018,31.4,93.4,58.2769881790166,2.96120110396702,327.0,36.927,0.0,146.52248185721,-1.50287592411041,6.4,-21.5852741164653,14.20841885,6.981,2.59522269404553,44.20343,5.002,0.0,1.18922812944517,553.125151688293,2902.39211285546,568.977113896441,0.0,4.34319019317627,0.393489241600037,13.3872469597976,0.626149149168983,54.7570194384,63.081,1.00674585570556,56.3344817012404,2.91080959861384,0.0,73.3,36743039.0,0.0,0.0,0.0,54.5,8.5,0.016,0.344998757258291,3.32380000211032,15.46,12.283,16.155,11.196,20.0,3.294,9.688910054500392
4,Afghanistan,AFG,2019,32.6,97.7,58.2769881790166,3.02353649142082,327.0,36.466,0.0,149.895975208032,-1.41931009292603,6.8,-20.1704643881064,14.83131981,6.791,2.39042205413598,44.06497,4.87,0.0,3.91160341625552,557.861533207459,2927.2451435353,568.977113896441,0.0,4.34319019317627,0.393489241600037,14.0581123697768,2.30237251516819,54.7570194384,63.565,1.17096838242129,58.0410606687825,2.98438913621969,0.0,73.3,37856121.0,0.0,0.0,0.0,54.5,8.5,0.016,0.291266953257151,2.97423809266455,15.46,12.283,16.155,11.185,20.0,3.294,10.275749065785162
5,Afghanistan,AFG,2020,33.8,97.7,58.7415482268525,1.82108954131721,327.0,36.051,0.0,149.895975208032,-1.49336087703705,6.8,-15.7183027911684,15.53361416,7.113,2.2440821580961,44.06497,4.75,0.0,-2.35110067203466,527.834554499306,2769.68574507111,568.977113896441,22.1092193573017,4.34319019317627,0.400284141302109,12.9525996015547,2.30237251516819,54.7570194384,62.575,1.35885692738929,59.9006163469942,3.15360920291972,0.0,73.3,39068979.0,0.0,0.0,0.0,54.5,8.5,0.011,0.228321083128007,2.67397501265809,14.384,11.103,12.569,11.71,20.0,3.294,4.236097390720142
6,Afghanistan,AFG,2021,34.9,97.7,58.7415482268525,1.82108954131721,327.0,35.842,0.0,149.895975208032,-1.15226578712463,6.8,-15.7183027911684,21.82794952,7.344,2.2440821580961,44.06497,4.643,0.0,-20.7388393676343,408.625855217403,2144.16657002819,568.977113896441,21.2623843883974,4.34319019317627,0.400284141302109,14.2736570191788,2.30237251516819,54.7570194384,61.982,1.827933856217,61.3286907992579,2.35609779179185,0.0,73.3,40000412.0,0.0,0.0,0.0,54.5,8.5,0.011,0.181215272713207,2.67397501265809,9.781,6.754,8.879,11.994,20.0,3.294,21.412279453521627
7,Afghanistan,AFG,2022,36.1,85.3,58.7415482268525,1.82108954131721,327.0,35.143,0.0,149.895975208032,-1.18368434906006,6.8,-15.7183027911684,21.82794952,6.906,2.2440821580961,44.06497,4.523,0.0,-6.24017199240269,377.665627080705,1981.71016810561,568.977113896441,21.8454919236646,4.34319019317627,0.400284141302109,16.0503677223963,2.30237251516819,54.7570194384,62.879,1.827933856217,62.2155405301811,1.43570437048699,0.0,73.3,40578842.0,0.0,0.0,0.0,54.5,8.5,0.011,0.18280878028051,2.67397501265809,9.781,6.754,8.879,14.1,20.0,3.294,58.515716145867344
8,Afghanistan,AFG,2023,36.1,85.3,58.7415482268525,1.82108954131721,327.0,35.143,0.0,149.895975208032,-1.15493178367615,6.8,-15.7183027911684,21.82794952,6.906,2.2440821580961,44.06497,4.523,0.0,2.71088679128353,379.707497269884,1992.42439419795,568.977113896441,21.1902114344589,4.34319019317627,0.400284141302109,13.5231032701819,2.30237251516819,54.7570194384,62.879,1.827933856217,62.2155405301811,2.13559384981397,0.0,73.3,41454761.0,0.0,0.0,0.0,54.5,8.5,0.011,0.251627861855796,2.67397501265809,9.781,6.754,8.879,13.991,20.0,3.294,48.679571448982664
9,Albania,ALB,2015,76.6,100.0,42.8576642335766,0.656344301232692,1485.0,11.718,79.8644181475793,111.397164149808,-0.54514080286026,10.3,-8.60488046763521,6.46411896,7.947,16.9562909343761,58.07559,1.613,0.0,2.21872637517804,3952.80357364813,13110.6178808108,3999.65265201593,11.1106353102927,3.43796992301941,0.0,21.7636809971645,1.89617402592365,5.5288461538,78.644,1.16230386432234,105.135145985401,-0.291205786840436,9.15110167982407,0.0,2880703.0,0.1,3.5,25.4,0.0,5.0,5.04,10.2420156092246,33.5289041026424,19.276,13.5,20.502,17.193,37.0,1.809,19.61326801131529
10,Albania,ALB,2016,78.3,99.9,43.1277372262774,0.633524160748185,1485.0,11.289,80.7355819675527,112.817958876089,-0.472373723983765,12.5,-7.59082599857198,6.7293272,8.035,7.23712891880868,64.16093,1.551,0.0,3.31498068384137,4090.37272829183,13566.905825586,4155.53625039546,11.2693152160404,3.96209001541138,0.0,21.1419653523072,1.2754316836741,6.5625,78.86,1.10358100880452,104.967189781022,-0.159880412127734,9.15110167982407,7.8,2876101.0,0.1,4.7,25.5,23.7,5.0,5.13,4.91975704797924,15.23524249807,17.054,12.916,17.652,15.418,37.0,1.809,17.732339719641278
11,Albania,ALB,2017,79.6,99.9,42.8569708029197,0.660195770052346,1485.0,10.87,75.8887278169195,115.059269640307,-0.481386840343475,12.0,-7.54422875202925,6.57848787,8.15,6.82431266420155,66.8377,1.491,0.0,3.80259872019053,4249.8200493985,14095.7590458888,4261.24009802355,11.4983976170746,3.61172008514404,0.621,20.3584083577153,1.98666133171199,6.5564903846,79.047,1.10915100558884,104.870693430657,-0.0919722937442495,9.15110167982407,7.8,2873457.0,0.4,3.6,25.5,23.4,5.0,5.13,3.93157258037945,11.1428754430796,13.694,12.24,15.294,13.616,37.0,1.809,22.620836156587693
12,Albania,ALB,2018,80.7,100.0,42.8496715328467,0.645800146381367,1485.0,10.517,63.6337624893814,117.392740239274,-0.546018898487091,11.3,-6.60766413996776,6.66844559,8.308,13.1342081476403,66.99561,1.44,0.0,4.01934561695576,4431.55559506989,14698.5376181768,4427.88943472295,11.8666128771924,3.15294480323792,0.628666281700134,23.7535862152793,2.02805963071136,5.7572115385,79.184,1.16054478505068,104.612262773723,-0.246732042281782,9.15110167982407,5.3,2866376.0,0.0,2.7,18.2,23.0,4.5,5.11,7.06304040816611,20.6761124898272,14.014,9.907,14.232,12.304,37.0,1.809,22.502281626695172
13,Albania,ALB,2019,82.0,100.0,42.8467153284672,0.565041583529038,1485.0,10.343,74.8082829284774,119.049258384382,-0.564274072647095,10.8,-7.82064680790707,6.86214113,8.48,7.32940800894511,67.74847,1.414,21.5,2.06256753999989,4542.26866282892,15065.7495726178,4486.70258042797,12.6759965465543,3.91623997688293,0.628666281700134,22.9655306366233,1.41109078954246,6.796875,79.282,1.28080596201472,104.167554744526,-0.426007367032238,9.15110167982407,5.3,2854191.0,0.0,1.2,14.9,21.8,4.5,5.11,3.99077851075161,11.6000219465986,12.296,8.687,14.259,11.466,37.0,1.809,21.72244254151176
14,Albania,ALB,2020,83.1,100.0,42.538503649635,0.591541401612986,1485.0,10.285,83.4542023884025,120.978911881374,-0.573538780212402,10.8,-8.62504716701021,7.51920271,10.785,17.7018181321605,67.74847,1.4,21.5,-3.31371614712083,4417.04105105395,14650.3959291802,4348.52760066777,13.6673304631369,3.3422999382019,0.634250938892365,23.4687164167083,1.62088661717011,4.7235576923,76.989,1.29583570269739,103.571131386861,-0.574206959244013,9.15110167982407,2.8,2837849.0,0.0,1.5,13.7,22.0,4.5,4.47,7.62983014334288,29.7327737084102,12.54,9.346,13.559,11.69,37.0,1.809,10.042817641107755
15,Albania,ALB,2021,83.6,100.0,41.471897810219,0.591541401612986,1485.0,10.24,81.9201331889469,123.448662047404,-0.577179968357086,10.8,-7.59590759205624,7.26731825,11.325,8.94711943572252,67.74847,1.39,21.5,8.96955339178935,4858.05201500931,16113.1365187234,4794.39725745485,12.8352244543565,3.02255988121033,0.634250938892365,22.4341151172329,2.04147163139549,4.7836538462,76.463,1.24298808396067,102.615547445255,-0.926918061639398,9.15110167982407,2.8,2811666.0,0.0,1.5,13.7,22.0,4.5,4.47,4.98318684264077,14.5719568092065,10.379,10.109,13.279,11.474,37.0,1.809,19.561356149699144
16,Albania,ALB,2022,84.6,100.0,41.4452554744526,0.591541401612986,1485.0,10.116,81.9201331889469,131.750834819418,-0.408189445734024,10.8,-5.87243640069213,7.26731825,11.194,6.02271736447491,67.74847,1.376,21.5,4.82668831434437,5154.8274975368,17097.4783599802,5068.14606588238,12.0411725712096,2.74432992935181,0.634250938892365,23.0250575763314,6.72520271530048,4.7836538462,76.833,1.21098343566728,101.375510948905,-1.21579032012532,9.15110167982407,2.8,2777689.0,0.0,1.5,13.7,22.0,4.5,4.47,3.77638811742355,9.18537797954845,10.228,9.437,12.355,10.137,37.0,1.809,18.900604063305863
17,Albania,ALB,2023,84.6,100.0,41.4452554744526,0.591541401612986,1485.0,10.116,81.9201331889469,138.021863913783,-0.332218527793884,10.8,-1.19632174783293,7.26731825,11.194,5.95274652774102,67.74847,1.376,21.5,3.93662525742167,5419.63779125273,17975.7983946412,5352.29049349294,12.0464697906067,2.74432992935181,0.634250938892365,23.0184724953671,4.75976421930107,4.7836538462,76.833,1.74399167669186,101.375510948905,-1.14841763771287,9.15110167982407,2.8,2745972.0,0.0,1.5,13.7,22.0,4.5,4.47,3.65106366160668,8.47736710275342,8.947,9.694,12.824,10.108,37.0,1.809,23.853120133781406
18,Algeria,DZA,2015,99.6,99.4,17.4059228102468,2.63114608393472,89.0,25.405,0.0,126.736646357875,-0.639462769031525,10.9,-14.4205446442815,6.96321011,4.437,0.470755750122816,44.2486,3.041,0.0,3.20000000000009,4685.05902729002,15239.5171455316,4588.99546736232,20.5244656437501,6.17633008956909,0.0,32.7565009315894,4.78444700693889,125.9884620796,75.622,6.27024285623508,16.8026368106356,2.05624795728459,1.2456681044134,0.0,40019529.0,0.0,0.0,0.0,0.0,18.0,0.58,0.376339887770164,1.72343736396926,0.0,0.0,0.0,11.206,36.0,2.11,7.071547493724877
19,Algeria,DZA,2016,99.6,99.4,17.3655321884285,2.60218370137169,89.0,25.166,0.0,134.844870195013,-0.673700511455536,11.1,-14.4962877563746,6.58904791,4.472,0.475646929851391,46.10981,3.051,0.0,3.89999999999995,4768.73140080218,15511.6858766657,4748.94882852879,20.0218426111777,6.50210857391357,0.0,32.205164049828,6.39769480268757,129.8719572253,75.732,6.38492898301865,17.1516218598076,2.05569111181654,1.2456681044134,21.07581,40850721.0,0.0,0.0,0.0,0.0,18.0,0.6,0.198588641861582,1.01403802715903,0.0,0.0,0.0,10.202,36.0,2.11,6.890943246754445
20,Algeria,DZA,2017,99.7,99.5,17.3550108093197,2.56522509647917,89.0,24.755,0.0,142.384203185789,-0.598896265029907,12.5,-11.6217683736912,6.53307724,4.542,0.41848455358651,46.22686,3.05,0.0,1.50000000000003,4742.90075536604,15427.6641894871,4695.08953709731,18.8290421977276,5.73482370376587,0.523,33.4766949498416,5.59111590961664,137.9203602082,75.743,5.92438332688534,17.5037080018356,2.03200060784518,1.2456681044134,21.07581,41689299.0,0.0,0.0,0.0,0.0,18.0,0.61,0.127681234763367,0.599990207704779,17.75,10.93,11.26,12.0,36.0,2.11,6.32056681979709
21,Algeria,DZA,2018,99.7,99.6,17.3565679895505,2.53309079588274,89.0,24.074,0.0,148.463994714821,-0.658903956413269,11.8,-8.68941296193565,6.38729763,4.482,0.327383510035872,48.49803,3.023,0.0,1.40000000000002,4717.00358853556,15343.4261221255,4613.65166854586,17.4037117605062,5.81275129318237,0.531993925571442,35.3432586054084,4.26999020467084,137.9203602082,76.066,5.48358870056161,17.846203680417,1.93780623340147,1.2456681044134,17.17042,42505035.0,0.0,0.0,0.0,0.0,18.0,0.61,0.114063818202908,0.476882299088464,17.75,10.93,11.26,12.137,36.0,2.11,7.5873364179090785
22,Algeria,DZA,2019,99.7,99.5,17.347004145287,2.50256236334095,89.0,23.298,0.0,151.361667767746,-0.656169533729553,11.3,-8.76373598794007,5.86751413,4.392,0.333320590291572,48.59758,2.988,0.0,0.899999999999949,4672.66408682198,15199.1989965648,4577.62810438229,18.2610260787535,5.57536554336548,0.531993925571442,33.5743211841578,1.95176821052892,137.9203602082,76.474,5.99994146398572,18.177688506013,1.84041291439333,1.2456681044134,17.17042,43294546.0,0.0,0.0,0.0,0.0,18.0,0.61,0.102721141380639,0.491759309197809,17.75,10.93,11.26,12.259,36.0,2.11,8.557659895544349
23,Algeria,DZA,2020,99.7,99.7,17.3351724641764,2.70608654479814,89.0,22.431,0.0,155.017250238567,-0.666826963424683,11.3,-11.0309095376359,6.14268684,5.398,0.406107212322762,48.59758,2.942,0.0,-4.99999999999997,4363.68533766912,14194.1557478261,4297.13242557256,19.8031597171656,6.1939172744751,0.534556448459625,30.0235803787213,2.41513094083414,137.9203602082,74.453,6.65871082968014,18.4915534476671,1.71191216459393,1.2456681044134,13.26502,44042091.0,0.0,0.0,0.0,0.0,18.0,0.54,0.107951543184291,0.679785382766472,17.75,10.93,11.26,14.057,36.0,2.11,6.175910221882971
24,Algeria,DZA,2021,99.7,99.8,17.3306152936025,2.70608654479814,89.0,21.524,0.0,166.218894516626,-0.635961413383484,11.3,-2.42153524552472,5.5283432,4.546,0.292904426645949,48.59758,2.889,0.0,3.79999999999995,4456.74687641147,14496.8654697299,4368.2184730428,18.4286289389909,5.51403284072876,0.534556448459625,36.3214812457704,7.22606307415477,137.9203602082,76.377,5.57082878533287,18.7934368178572,1.61936460233826,1.2456681044134,13.26502,44761099.0,0.0,0.0,0.0,0.0,18.0,0.54,0.105262562567755,0.451811806285505,17.75,10.93,11.26,13.63,36.0,2.11,6.8698045148534
25,Algeria,DZA,2022,99.7,100.0,17.3445059727317,2.70608654479814,89.0,20.572,0.0,181.619931977783,-0.638041079044342,11.3,8.61928488039942,5.5283432,4.329,0.255629393742278,48.59758,2.829,0.0,3.59999999999998,4544.46688059647,14782.2002968893,4419.86756448775,16.5359089102657,4.74924659729004,0.534556448459625,43.0480574822468,9.26551551551553,137.9203602082,77.129,4.69502219300875,19.0941790060296,1.58758210690673,1.2456681044134,13.26502,45477389.0,0.0,0.0,0.0,0.0,18.0,0.54,0.135872576793325,0.426448875667624,17.75,10.93,11.26,12.346,36.0,2.11,13.578176178935866
26,Algeria,DZA,2023,99.7,100.0,17.3445059727317,2.70608654479814,89.0,20.572,0.0,198.550857618244,-0.589308321475983,11.3,2.19023556995843,5.5283432,4.329,0.443858465232808,48.59758,2.829,0.0,4.10000000000004,4660.40545686886,15159.324237194,4590.00992696256,17.9279465789317,5.61015701293945,0.534556448459625,37.7570495314503,9.32217375928322,137.9203602082,77.129,8.1717205566288,19.0941790060296,1.49897601193923,1.2456681044134,13.26502,46164219.0,0.0,0.0,0.0,0.0,18.0,0.54,0.191619541585525,0.764096150519173,17.75,10.93,11.26,11.701,36.0,2.11,11.372444100050734
27,American Samoa,ASM,2015,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,1.15172910690308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14960629921259,12727.4102651386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.39,-1.10585645130594,4.62737256653892,0.0,52878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,American Samoa,ASM,2016,0.0,0.0,13.75,0.0,0.0,0.0,0.0,0.0,1.15941143035889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.67938931297709,12665.2829921268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.225,-1.20431808595042,4.62737256653892,0.0,52245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,American Samoa,ASM,2018,0.0,0.0,14.05,0.0,0.0,16.6,0.0,0.0,1.78064966201782,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,2.6711185308848,12412.6024074562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.54,-1.32302357149178,4.62737256653892,0.0,50908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,American Samoa,ASM,2019,0.0,0.0,14.2,0.0,0.0,16.6,0.0,0.0,1.78022909164429,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,-0.487804878048777,12524.0160252283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.045,-1.38257886328442,4.62737256653892,0.0,50209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
