index,country,year,"Birth rate, crude (per 1,000 people)",doing business score,government  consumption exp (% of GDP),Population living in slums (% of urban population),Unemployment intermediate education
0,Afghanistan,2015,38.803,39.25519,0,0,0
1,Afghanistan,2016,37.936,38.93563,0,72.12863,0
2,Afghanistan,2017,37.342,37.13062,0,72.12863,16.155
3,Afghanistan,2018,36.927,44.20343,0,73.3,16.155
4,Afghanistan,2019,36.466,44.06497,0,73.3,16.155
5,Afghanistan,2020,36.051,44.06497,22.10921936,73.3,12.569
6,Afghanistan,2021,35.842,44.06497,21.26238439,73.3,8.879
7,Afghanistan,2022,35.143,44.06497,21.84549192,73.3,8.879
8,Afghanistan,2023,35.143,44.06497,21.19021143,73.3,8.879
9,Albania,2015,11.718,58.07559,11.11063531,0,20.502
10,Albania,2016,11.289,64.16093,11.26931522,7.8,17.652
11,Albania,2017,10.87,66.8377,11.49839762,7.8,15.294
12,Albania,2018,10.517,66.99561,11.86661288,5.3,14.232
13,Albania,2019,10.343,67.74847,12.67599655,5.3,14.259
14,Albania,2020,10.285,67.74847,13.66733046,2.8,13.559
15,Albania,2021,10.24,67.74847,12.83522445,2.8,13.279
16,Albania,2022,10.116,67.74847,12.04117257,2.8,12.355
17,Albania,2023,10.116,67.74847,12.04646979,2.8,12.824
18,Algeria,2015,25.405,44.2486,20.52446564,0,0
19,Algeria,2016,25.166,46.10981,20.02184261,21.07581,0
20,Algeria,2017,24.755,46.22686,18.8290422,21.07581,11.26
21,Algeria,2018,24.074,48.49803,17.40371176,17.17042,11.26
22,Algeria,2019,23.298,48.59758,18.26102608,17.17042,11.26
23,Algeria,2020,22.431,48.59758,19.80315972,13.26502,11.26
24,Algeria,2021,21.524,48.59758,18.42862894,13.26502,11.26
25,Algeria,2022,20.572,48.59758,16.53590891,13.26502,11.26
26,Algeria,2023,20.572,48.59758,17.92794658,13.26502,11.26
27,American Samoa,2015,0,0,0,0,0
28,American Samoa,2016,0,0,0,0,0
29,American Samoa,2018,16.6,0,0,0,0
30,American Samoa,2019,16.6,0,0,0,0
31,American Samoa,2020,12.7,0,0,0,0
32,American Samoa,2021,12.7,0,0,0,0
33,American Samoa,2023,13.8,0,0,0,0
34,Andorra,2015,0,0,0,0,0
35,Andorra,2018,7.2,0,0,0,0
36,Andorra,2019,7,0,0,0,0
37,Andorra,2021,7,0,0,0,0
38,Andorra,2023,6.2,0,0,0,0
39,Angola,2015,42.02,37.57368,16.43283283,0,0
40,Angola,2016,41.377,37.65132,13.88068508,56.44953,0
41,Angola,2017,40.81,39.00774,12.93581932,56.44953,0
42,Angola,2018,40.236,41.20205,10.47454356,62.58105,0
43,Angola,2019,39.725,41.28838,8.598856284,62.58105,30.351
44,Angola,2020,39.271,41.28838,8.64793565,62.6,30.351
45,Angola,2021,38.809,41.28838,7.683454676,62.6,29.437
46,Angola,2022,38.2,41.28838,8.096265874,62.6,29.437
47,Angola,2023,38.2,41.28838,5.174861952,62.6,29.437
48,Antigua and Barbuda,2015,12.591,59.23927,0,0,0
49,Antigua and Barbuda,2016,11.659,58.80632,0,0,0
50,Antigua and Barbuda,2017,11.789,59.79669,0,0,0
51,Antigua and Barbuda,2018,10.816,59.85514,0,0,10.278
52,Antigua and Barbuda,2019,11.485,60.28342,0,0,10.278
53,Antigua and Barbuda,2020,12.16,60.28342,0,0,10.278
54,Antigua and Barbuda,2021,12.115,60.28342,0,0,10.278
55,Antigua and Barbuda,2022,11.984,60.28342,0,0,10.278
56,Antigua and Barbuda,2023,11.984,60.28342,0,0,10.278
57,Argentina,2015,17.346,56.73295,18.09837976,0,0
58,Argentina,2016,16.824,57.2443,17.65457819,0,0
59,Argentina,2017,16.206,57.31005,17.69689392,0,9.129
60,Argentina,2018,15.187,58.18388,15.80509716,0,10.691
61,Argentina,2019,14.783,58.96151,16.44324159,0,11.232
62,Argentina,2020,14.125,58.96151,16.87300738,0,12.566
63,Argentina,2021,13.902,58.96151,15.91581794,0,10.645
64,Argentina,2022,13.794,58.96151,15.83565718,0,8.295
65,Argentina,2023,13.794,58.96151,16.387469,0,7.421
66,Armenia,2015,14.641,69.1418,13.11159781,0,18.835
67,Armenia,2016,14.504,70.63154,13.45415852,8.88375,18.226
68,Armenia,2017,13.606,71.49433,12.31855199,8.88375,17.683
69,Armenia,2018,13.307,73.19187,11.48669032,8.39472,10.008
70,Armenia,2019,12.892,74.49401,12.5645601,8.39472,9.936
71,Armenia,2020,12.455,74.49401,14.96861824,8.39472,9.026
72,Armenia,2021,12.049,74.49401,13.64985026,8.39472,9.761
73,Armenia,2022,11.7,74.49401,11.67648189,8.39472,9.761
74,Armenia,2023,11.7,74.49401,14.14657932,8.39472,9.761
75,Australia,2015,12.9,80.38389,19.18887551,0,6.15
76,Australia,2016,12.9,80.22369,19.97359332,0,5.91
77,Australia,2017,12.6,80.76007,19.94828337,0,5.47
78,Australia,2018,12.6,80.70552,20.01682912,0,5.586
79,Australia,2019,12.1,81.21506,20.37134132,0,5.367
80,Australia,2020,11.5,81.21506,21.89469148,0,7.024
81,Australia,2021,12.1,81.21506,22.42271872,0,5.328
82,Australia,2022,11.6,81.21506,22.07842755,0,3.977
83,Australia,2023,11.6,81.21506,21.31385508,0,3.67
84,Austria,2015,9.8,78.81665,19.88795485,0,5.508
85,Austria,2016,10,78.85646,19.75841914,0,5.822
86,Austria,2017,10,78.70694,19.59894064,0,5.105
87,Austria,2018,9.7,78.73995,19.4423168,0,4.311
88,Austria,2019,9.6,78.74549,19.53132113,0,3.997
89,Austria,2020,9.4,78.74549,21.15293402,0,4.885
90,Austria,2021,9.6,78.74549,21.73176561,0,6.045
91,Austria,2022,9.1,78.74549,20.55248881,0,4.241
92,Austria,2023,9.1,78.74549,20.46541252,0,4.596
93,Azerbaijan,2015,17.2,65.7606,12.40823832,0,4.35
94,Azerbaijan,2016,16.3,64.56339,12.83206344,0,4.59
95,Azerbaijan,2017,14.6,67.13946,11.34141244,0,4.54
96,Azerbaijan,2018,14,73.8979,10.46646357,0,4.51
97,Azerbaijan,2019,14.1,78.50823,11.12347093,0,4.6
98,Azerbaijan,2020,12.5,78.50823,16.21894208,0,6.56
99,Azerbaijan,2021,11.1,78.50823,13.86744232,0,5.49
100,Azerbaijan,2022,12.1,78.50823,11.64214799,0,5.13
101,Azerbaijan,2023,12.1,78.50823,14.01295064,0,5.13
102,"Bahamas, The",2015,12.812,57.10881,11.52939967,0,0
103,"Bahamas, The",2016,12.188,56.94715,10.84196814,0,0
104,"Bahamas, The",2017,11.653,58.61968,11.91170822,0,0
105,"Bahamas, The",2018,11.566,59.38844,11.42218488,0,0
106,"Bahamas, The",2019,11.487,59.87155,12.57509872,0,9.77
107,"Bahamas, The",2020,11.49,59.87155,18.48326003,0,9.77
108,"Bahamas, The",2021,11.445,59.87155,14.78771033,0,9.77
109,"Bahamas, The",2022,11.379,59.87155,13.30349259,0,9.77
110,"Bahamas, The",2023,11.379,59.87155,12.95811975,0,9.774
111,Bahrain,2015,15.791,66.6415,16.88445926,0,0
112,Bahrain,2016,15.181,68.7147,16.27798917,0,0
113,Bahrain,2017,14.506,69.09366,15.85287308,0,0
