index,country,iso3Code,year,clean fuels for cooking (% of population),Access to electricity (% of population),Agricultural land (% ),Armed forces (% labor force),precipitation (mm per year),"Birth rate, crude (per 1,000 people)","Central government debt, total (% of GDP)",Consumer price index (2010 = 100),Control of Corruption: Estimate,Cost of business start-up (% of GNI per capita),Current account balance (% of GDP),Current health expenditure (% of GDP),"Death rate, crude (per 1,000 people)","Debt service (PPG and IMF only, % of exports of goods, services and primary income)",doing business score,"Fertility rate, total (births per woman)",% Firms using banks,GDP growth (annual %),GDP per capita (constant 2015 US$),"GDP per capita, PPP (constant 2021 international $)",GNI per capita (2015 US$),government  consumption exp (% of GDP),"Government expenditure on education, total (% of GDP)",Human Capital Index,"Industry (including construction), value added (% of GDP)","Inflation, consumer prices (annual %)",Level of water stress,"Life expectancy at birth, total (years)",Military expenditure (% of GDP),Population density,Population growth (annual %),% of total population below 5 meters,Population living in slums (% of urban population),"Population, total",Poverty $2.15 a day (% of population),Poverty $3.65 a day (% of population),Poverty $6.85 a day (% of population),%  Poverty headcount ratio ,Time to start a business (days),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Total debt service (% of GNI),"Total debt service (% of exports of goods, services and primary income)",Unemployment advanced education,Unemployment basic education ,Unemployment intermediate education,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Corruption index 2023,Global_Peace_Index_2023,immigration_100k
0,Afghanistan,AFG,2015,27.6,71.5,58.12366803,3.724666669,327,38.803,0,132.8832092,-1.354713082,19,-21.91265734,10.10534763,7.331,2.805853963,39.25519,5.405,0,1.451314661,565.5697304,2967.692067,568.9771139,0,3.255800009,0,22.12404249,-0.661709165,54.75701944,62.659,0.994575823,51.87091057,3.119959241,0,0,33831764,0,0,0,0,8.5,0.009,0.292136691,3.299608352,0,0,0,9.052,20,3.294,7.758980584045218
1,Afghanistan,AFG,2016,28.8,97.7,58.12366803,3.635915415,327,37.936,0,138.7086655,-1.540227771,19.9,-14.95019519,11.81859016,7.077,3.735882022,38.93563,5.262,0,2.260314203,563.8723367,2958.785399,568.9771139,0,4.543970108,0,10.46680769,4.383891955,54.75701944,63.136,0.956772141,53.20302961,2.535719918,0,72.12863,34700612,0,0,0,54.5,8.5,0.013,0.324902542,4.333403208,0,0,0,10.133,20,3.294,7.651161887288904
2,Afghanistan,AFG,2017,30.3,97.7,58.12366803,3.50177143,327,37.342,0,145.6107414,-1.530074596,82.3,-18.95596123,12.62081718,7.027,3.548647692,37.13062,5.129,0,2.647003203,562.7695741,2952.998916,568.9771139,0,4.343190193,0.389,10.051874,4.975951506,54.75701944,63.016,0.9452268,54.71832789,2.808337308,0,72.12863,35688935,0,0,0,54.5,8.5,0.017,0.333475147,4.353572015,15.46,12.283,16.155,11.184,20,3.294,9.694881620872128
3,Afghanistan,AFG,2018,31.4,93.4,58.27698818,2.961201104,327,36.927,0,146.5224819,-1.502875924,6.4,-21.58527412,14.20841885,6.981,2.595222694,44.20343,5.002,0,1.189228129,553.1251517,2902.392113,568.9771139,0,4.343190193,0.393489242,13.38724696,0.626149149,54.75701944,63.081,1.006745856,56.3344817,2.910809599,0,73.3,36743039,0,0,0,54.5,8.5,0.016,0.344998757,3.323800002,15.46,12.283,16.155,11.196,20,3.294,9.688910054500392
4,Afghanistan,AFG,2019,32.6,97.7,58.27698818,3.023536491,327,36.466,0,149.8959752,-1.419310093,6.8,-20.17046439,14.83131981,6.791,2.390422054,44.06497,4.87,0,3.911603416,557.8615332,2927.245144,568.9771139,0,4.343190193,0.393489242,14.05811237,2.302372515,54.75701944,63.565,1.170968382,58.04106067,2.984389136,0,73.3,37856121,0,0,0,54.5,8.5,0.016,0.291266953,2.974238093,15.46,12.283,16.155,11.185,20,3.294,10.275749065785162
5,Afghanistan,AFG,2020,33.8,97.7,58.74154823,1.821089541,327,36.051,0,149.8959752,-1.493360877,6.8,-15.71830279,15.53361416,7.113,2.244082158,44.06497,4.75,0,-2.351100672,527.8345545,2769.685745,568.9771139,22.10921936,4.343190193,0.400284141,12.9525996,2.302372515,54.75701944,62.575,1.358856927,59.90061635,3.153609203,0,73.3,39068979,0,0,0,54.5,8.5,0.011,0.228321083,2.673975013,14.384,11.103,12.569,11.71,20,3.294,4.236097390720142
6,Afghanistan,AFG,2021,34.9,97.7,58.74154823,1.821089541,327,35.842,0,149.8959752,-1.152265787,6.8,-15.71830279,21.82794952,7.344,2.244082158,44.06497,4.643,0,-20.73883937,408.6258552,2144.16657,568.9771139,21.26238439,4.343190193,0.400284141,14.27365702,2.302372515,54.75701944,61.982,1.827933856,61.3286908,2.356097792,0,73.3,40000412,0,0,0,54.5,8.5,0.011,0.181215273,2.673975013,9.781,6.754,8.879,11.994,20,3.294,21.412279453521627
7,Afghanistan,AFG,2022,36.1,85.3,58.74154823,1.821089541,327,35.143,0,149.8959752,-1.183684349,6.8,-15.71830279,21.82794952,6.906,2.244082158,44.06497,4.523,0,-6.240171992,377.6656271,1981.710168,568.9771139,21.84549192,4.343190193,0.400284141,16.05036772,2.302372515,54.75701944,62.879,1.827933856,62.21554053,1.43570437,0,73.3,40578842,0,0,0,54.5,8.5,0.011,0.18280878,2.673975013,9.781,6.754,8.879,14.1,20,3.294,58.515716145867344
8,Afghanistan,AFG,2023,36.1,85.3,58.74154823,1.821089541,327,35.143,0,149.8959752,-1.154931784,6.8,-15.71830279,21.82794952,6.906,2.244082158,44.06497,4.523,0,2.710886791,379.7074973,1992.424394,568.9771139,21.19021143,4.343190193,0.400284141,13.52310327,2.302372515,54.75701944,62.879,1.827933856,62.21554053,2.13559385,0,73.3,41454761,0,0,0,54.5,8.5,0.011,0.251627862,2.673975013,9.781,6.754,8.879,13.991,20,3.294,48.679571448982664
9,Albania,ALB,2015,76.6,100,42.85766423,0.656344301,1485,11.718,79.86441815,111.3971641,-0.545140803,10.3,-8.604880468,6.46411896,7.947,16.95629093,58.07559,1.613,0,2.218726375,3952.803574,13110.61788,3999.652652,11.11063531,3.437969923,0,21.763681,1.896174026,5.528846154,78.644,1.162303864,105.135146,-0.291205787,9.15110168,0,2880703,0.1,3.5,25.4,0,5,5.04,10.24201561,33.5289041,19.276,13.5,20.502,17.193,37,1.809,19.61326801131529
