index,country,iso3Code,year,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Armed forces (% labor force),government  consumption exp (% of GDP),"Population, total",Population density,immigration_100k
0,Afghanistan,AFG,2015,9.052,3.724666669,0,33831764,51.87091057,7.758980584045218
1,Afghanistan,AFG,2016,10.133,3.635915415,0,34700612,53.20302961,7.651161887288904
2,Afghanistan,AFG,2017,11.184,3.50177143,0,35688935,54.71832789,9.694881620872128
3,Afghanistan,AFG,2018,11.196,2.961201104,0,36743039,56.3344817,9.688910054500392
4,Afghanistan,AFG,2019,11.185,3.023536491,0,37856121,58.04106067,10.275749065785162
5,Afghanistan,AFG,2020,11.71,1.821089541,22.10921936,39068979,59.90061635,4.236097390720142
6,Afghanistan,AFG,2021,11.994,1.821089541,21.26238439,40000412,61.3286908,21.412279453521627
7,Afghanistan,AFG,2022,14.1,1.821089541,21.84549192,40578842,62.21554053,58.515716145867344
8,Afghanistan,AFG,2023,13.991,1.821089541,21.19021143,41454761,62.21554053,48.679571448982664
9,Albania,ALB,2015,17.193,0.656344301,11.11063531,2880703,105.135146,19.61326801131529
10,Albania,ALB,2016,15.418,0.633524161,11.26931522,2876101,104.9671898,17.732339719641278
11,Albania,ALB,2017,13.616,0.66019577,11.49839762,2873457,104.8706934,22.620836156587693
12,Albania,ALB,2018,12.304,0.645800146,11.86661288,2866376,104.6122628,22.502281626695172
13,Albania,ALB,2019,11.466,0.565041584,12.67599655,2854191,104.1675547,21.72244254151176
14,Albania,ALB,2020,11.69,0.591541402,13.66733046,2837849,103.5711314,10.042817641107755
15,Albania,ALB,2021,11.474,0.591541402,12.83522445,2811666,102.6155474,19.561356149699144
16,Albania,ALB,2022,10.137,0.591541402,12.04117257,2777689,101.3755109,18.900604063305863
17,Albania,ALB,2023,10.108,0.591541402,12.04646979,2745972,101.3755109,23.853120133781406
18,Algeria,DZA,2015,11.206,2.631146084,20.52446564,40019529,16.80263681,7.071547493724877
19,Algeria,DZA,2016,10.202,2.602183701,20.02184261,40850721,17.15162186,6.890943246754445
20,Algeria,DZA,2017,12,2.565225096,18.8290422,41689299,17.503708,6.32056682
21,Algeria,DZA,2018,12.137,2.533090796,17.40371176,42505035,17.84620368,7.5873364179090785
22,Algeria,DZA,2019,12.259,2.502562363,18.26102608,43294546,18.17768851,8.557659895544349
23,Algeria,DZA,2020,14.057,2.706086545,19.80315972,44042091,18.49155345,6.175910221882971
