index,country,iso3Code,year,Armed forces (% labor force),government  consumption exp (% of GDP),Population density,"Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)",immigration_100k
0,Afghanistan,AFG,2015,3.724666669,0,51.87091057,33831764,9.052,7.758980584045218
1,Afghanistan,AFG,2016,3.635915415,0,53.20302961,34700612,10.133,7.651161887288904
2,Afghanistan,AFG,2017,3.50177143,0,54.71832789,35688935,11.184,9.694881620872128
3,Afghanistan,AFG,2018,2.961201104,0,56.3344817,36743039,11.196,9.688910054500392
4,Afghanistan,AFG,2019,3.023536491,0,58.04106067,37856121,11.185,10.275749065785162
5,Afghanistan,AFG,2020,1.821089541,22.10921936,59.90061635,39068979,11.71,4.236097390720142
6,Afghanistan,AFG,2021,1.821089541,21.26238439,61.3286908,40000412,11.994,21.412279453521627
7,Afghanistan,AFG,2022,1.821089541,21.84549192,62.21554053,40578842,14.1,58.515716145867344
8,Afghanistan,AFG,2023,1.821089541,21.19021143,62.21554053,41454761,13.991,48.679571448982664
9,Albania,ALB,2015,0.656344301,11.11063531,105.135146,2880703,17.193,19.61326801131529
10,Albania,ALB,2016,0.633524161,11.26931522,104.9671898,2876101,15.418,17.732339719641278
11,Albania,ALB,2017,0.66019577,11.49839762,104.8706934,2873457,13.616,22.620836156587693
12,Albania,ALB,2018,0.645800146,11.86661288,104.6122628,2866376,12.304,22.502281626695172
13,Albania,ALB,2019,0.565041584,12.67599655,104.1675547,2854191,11.466,21.72244254151176
14,Albania,ALB,2020,0.591541402,13.66733046,103.5711314,2837849,11.69,10.042817641107755
15,Albania,ALB,2021,0.591541402,12.83522445,102.6155474,2811666,11.474,19.561356149699144
16,Albania,ALB,2022,0.591541402,12.04117257,101.3755109,2777689,10.137,18.900604063305863
17,Albania,ALB,2023,0.591541402,12.04646979,101.3755109,2745972,10.108,23.853120133781406
18,Algeria,DZA,2015,2.631146084,20.52446564,16.80263681,40019529,11.206,7.071547493724877
19,Algeria,DZA,2016,2.602183701,20.02184261,17.15162186,40850721,10.202,6.890943246754445
20,Algeria,DZA,2017,2.565225096,18.8290422,17.503708,41689299,12,6.32056682
21,Algeria,DZA,2018,2.533090796,17.40371176,17.84620368,42505035,12.137,7.5873364179090785
22,Algeria,DZA,2019,2.502562363,18.26102608,18.17768851,43294546,12.259,8.557659895544349
23,Algeria,DZA,2020,2.706086545,19.80315972,18.49155345,44042091,14.057,6.175910221882971
24,Algeria,DZA,2021,2.706086545,18.42862894,18.79343682,44761099,13.63,6.869804515
25,Algeria,DZA,2022,2.706086545,16.53590891,19.09417901,45477389,12.346,13.578176178935866
26,Algeria,DZA,2023,2.706086545,17.92794658,19.09417901,46164219,11.701,11.372444100050734
27,American Samoa,ASM,2015,0,0,264.39,52878,0,0
28,American Samoa,ASM,2016,0,0,261.225,52245,0,0
29,American Samoa,ASM,2018,0,0,254.54,50908,0,0
30,American Samoa,ASM,2019,0,0,251.045,50209,0,0
31,American Samoa,ASM,2020,0,0,248.805,49761,0,0
32,American Samoa,ASM,2021,0,0,246.125,49225,0,0
33,American Samoa,ASM,2023,0,0,241.71,47521,0,0
34,Andorra,AND,2015,0,0,153.5617021,72174,0,0
35,Andorra,AND,2018,0,0,159.9191489,75162,0,0
36,Andorra,AND,2019,0,0,162.7106383,76474,0,0
37,Andorra,AND,2021,0,0,166.7319149,78364,0,0
38,Andorra,AND,2023,0,0,169.5851064,80856,0,0
39,Angola,AGO,2015,0.996586478,16.43283283,22.58586508,28157798,16.49,0.053271211051375535
40,Angola,AGO,2016,0.965369076,13.88068508,23.40825379,29183070,16.575,0.051399664
41,Angola,AGO,2017,0.934818165,12.93581932,24.25189621,30234839,16.61,0.08268607
42,Angola,AGO,2018,0.905714571,10.47454356,25.10399856,31297155,16.594,0.063903572
43,Angola,AGO,2019,0.877633971,8.598856284,25.96906393,32375632,16.497,0.15443713963637837
44,Angola,AGO,2020,0.851290097,8.64793565,26.8317414,33451132,16.69,0.044841531820208655
45,Angola,AGO,2021,0.851290097,7.683454676,27.69906874,34532429,15.799,0.41989516578749786
